player_id,search_full_name,full_name,position,team
4733,alexgray,Alex Gray,TE,
3540,jamaaljones,Jamaal Jones,WR,
7049,jauanjennings,Jauan Jennings,WR,SF
3338,keenanreynolds,Keenan Reynolds,WR,
8136,rachaadwhite,Rachaad White,RB,TB
6496,colehedlund,Cole Hedlund,K,
11610,malikwashington,Malik Washington,WR,MIA
5024,jameswashington,James Washington,WR,
12413,hamzeelzayat,Hamze El-Zayat,WR,
860,armonbinns,Armon Binns,WR,
2304,jeromecunningham,Jerome Cunningham,TE,
8070,travistoivonen,Travis Toivonen,WR,
655,anquanboldin,Anquan Boldin,WR,
6519,darriusshepherd,Darrius Shepherd,WR,
11918,ahmareanbrown,Ahmarean Brown,WR,
2565,jeansifrin,Jean Sifrin,TE,
4943,samdarnold,Sam Darnold,QB,MIN
5809,jaquangardner,Ja'Quan Gardner,RB,
10228,charliejones,Charlie Jones,WR,CIN
4026,deshonekizer,DeShone Kizer,QB,
1353,mikegillislee,Mike Gillislee,RB,
1169,robertgriffin,Robert Griffin,QB,
11598,tannermclachlan,Tanner McLachlan,TE,CIN
11995,zackannexstad,Zack Annexstad,QB,
11998,emanibailey,Emani Bailey,RB,KC
829,andydalton,Andy Dalton,QB,CAR
10222,jaydenreed,Jayden Reed,WR,GB
7534,sethwilliams,Seth Williams,WR,
2754,mikejohnson,Mike Johnson,WR,
3698,patrickskov,Patrick Skov,RB,
1751,tobenopurum,Toben Opurum,RB,
895,jordantodman,Jordan Todman,RB,
6388,romellobrooker,Romello Brooker,TE,
3712,adamfuehne,Adam Fuehne,TE,
2684,corbinlouks,Corbin Louks,WR,
1266,gregzuerlein,Greg Zuerlein,K,NYJ
7905,dylansoehner,Dylan Soehner,TE,
12284,michaelherzog,Michael Herzog,RB,
11311,jasonbrownlee,Jason Brownlee,WR,NYJ
194,reggiewayne,Reggie Wayne,WR,
1953,travislabhart,Travis Labhart,WR,
4330,jojonatson,JoJo Natson,WR,
6072,bruceanderson,Bruce Anderson,RB,
2202,jeronhamm,Je'Ron Hamm,TE,
11008,anderscarlson,Anders Carlson,K,
3278,pharohcooper,Pharoh Cooper,WR,
5165,quintonflowers,Quinton Flowers,QB,
2581,jahwanedwards,Jahwan Edwards,RB,
4544,daikielshorts,Daikiel Shorts,WR,
4418,leshundaniels,LeShun Daniels,RB,
11370,chrisbrooks,Chris Brooks,RB,
6196,christianwade,Christian Wade,RB,
7794,chrisevans,Chris Evans,RB,CIN
530,jermainegresham,Jermaine Gresham,TE,
4,roddywhite,Roddy White,WR,
11574,dylanlaube,Dylan Laube,RB,LV
6323,andrewbeck,Andrew Beck,RB,GB
7606,kadariustoney,Kadarius Toney,WR,
6927,quezwatkins,Quez Watkins,WR,PIT
1589,quintonpatton,Quinton Patton,WR,
316,malcomfloyd,Malcom Floyd,WR,
3615,sionehouma,Sione Houma,RB,
2561,anthonyboone,Anthony Boone,QB,
226,antwaanrandleel,Antwaan Randle El,WR,
8111,cadeotton,Cade Otton,TE,TB
2929,adriancoxson,Adrian Coxson,WR,
974,ryanwilliams,Ryan Williams,RB,
6742,marquisyoung,Marquis Young,RB,
